PM10 Delhi,12:00:00 AM,1:00:00 AM,2:00:00 AM,3:00:00 AM,4:00:00 AM,5:00:00 AM,6:00:00 AM,7:00:00 AM,8:00:00 AM,9:00:00 AM,10:00:00 AM,11:00:00 AM,12:00:00 PM,1:00:00 PM,2:00:00 PM,3:00:00 PM,4:00:00 PM,5:00:00 PM,6:00:00 PM,7:00:00 PM,8:00:00 PM,9:00:00 PM,10:00:00 PM,11:00:00 PM
4/5/2015,101.46,104.48,103.92,107.71,168.25,174.24,165.18,209.41,211.53,209.97,176.39,122.08,63.44,119.17,127.3,130.24,92.88,104.69,110.68,118.86,147.87,215.42,250.47,146.77
4/6/2015,254.83,296.58,318.27,339.24,299.48,245.2,304.66,331.08,268.2,222.44,140.72,231.88,156.03,109.5,126.26,110.26,82.92,59.53,87.61,92.17,140.72,118.38,155.89,199.33
4/7/2015,113.47,116.07,105.61,118.72,163.73,126.25,80.45,79.12,104.7,108.69,92.69,62.09,77.54,88.96,87.18,94.11,77.25,66.4,70.6,81.66,85.5,88.92,98.58,111.17
4/8/2015,113.6,128.25,130.45,104.46,137.51,148.59,197.32,169.28,163.03,161.04,136.5,124.86,99.88,98.68,77.44,78.95,76.26,120.42,135.61,78.53,113.71,107.7,92.64,89.98
4/9/2015,144.81,120.74,119.12,127.4,132.81,149.57,170.99,158.2,136.33,136.49,79.15,63.6,142.05,110.06,167.96,142.36,123,132.16,108.01,100.52,154.15,229.18,277.58,329.73
4/10/2015,281.7,249.1,180.56,178.05,148.79,153.88,166.34,229.44,178.26,294.86,239.7,220.77,196.98,208.26,192.74,173.86,125.7,120.95,148.84,165.74,205.42,309.47,214.02,304.58
4/11/2015,351.9,334.09,345.82,361.93,346.02,316.07,329.55,379.16,401.89,373.29,241.17,171.47,125.27,117.13,115.97,84.8,142.09,96.73,98.78,123.06,178.45,143.89,154.56,298.6
4/12/2015,132.4,108.3,120,98.01,76.21,52.5,78.39,53.44,64.01,80.21,73.91,73.19,77.11,86.23,83.69,95.18,82.88,93.09,98.32,114.36,120.59,109.07,116.14,114.36
4/13/2015,98.11,120.14,159.06,154.22,111.65,123.08,137.19,125.3,133.34,137.17,136.09,118.87,128.56,118.92,113.41,98.16,93.92,100.8,132.12,117.92,65.36,71.3,84.26,119.94
4/14/2015,127.52,132.68,130.91,127.77,126.27,143.18,157.4,167.36,145.96,121.33,83.43,87.9,117.47,104.02,80.62,91.9,93.18,96.29,90.59,131.43,188.83,200.66,267.8,169.7
4/15/2015,287.99,285.5,264.69,262.05,220.85,193.58,186.62,193.9,204.32,190.44,126.84,99.91,101.02,82.53,84.92,98.33,107.35,105.44,98.2,121.41,126.23,123.67,130.7,177.91
4/16/2015,127.77,165.2,165.46,147.48,151.3,198.73,231.16,241.45,275.79,223.89,183.72,168.14,167.8,132.41,161.29,194.83,125.79,123.75,137.88,105.44,109.84,127.07,121.43,161.79
4/17/2015,181.79,191.65,121.61,117.99,119.04,121.41,115.31,129.84,192.96,253.31,179.7,183.53,155.8,160.97,157.79,160.1,188.25,214.02,162,192.01,242.43,254.88,298.84,240.75
4/18/2015,340.73,296.51,244,202.28,184.65,243.6,329.95,425.99,330.17,342.98,251.55,217.26,250.59,245.19,190.69,213.77,206.66,204.76,214.14,268.09,229.26,321.38,323.67,369.8
